network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AK,ATKA,--,52.2016,-174.1975,71.9591,2.3073,15000,-518.188,vel
AV,OKFG,--,53.4107,-167.9115,73.5955,6.1335,15000,-527.66,vel
AV,MAPS,--,53.8082,-166.9407,74.088,6.6537,15000,-530.48,vel
AV,MSW,--,53.9148,-166.788,74.2095,6.7255,15000,-531.18,vel
AV,AKRB,--,54.1292,-166.0708,74.5008,7.1141,15000,-532.82,vel
AV,SSBA,--,54.7718,-164.1265,75.37,8.1206,15000,-537.72,vel
AK,CHI,--,55.8218,-155.6225,77.8079,12.5721,15000,-551.188,vel
AK,JIS,--,58.2758,-134.3848,85.7978,21.3259,15000,-592.148,vel
AV,AUJA,--,59.3395,-153.4227,81.51,12.3288,15000,-570.76,vel
AV,AU22,--,59.370595,-153.355058,81.5522,12.3486,15000,-570.98,vel
AK,PNL,--,59.667,-139.4014,85.2935,18.4142,15000,-589.708,vel
AK,KAI,--,59.9268,-144.4188,84.1123,16.1508,15000,-583.908,vel
AK,PIN,--,60.0959,-140.2525,85.3947,17.8128,15000,-590.208,vel
AK,SAMH,--,60.1294,-140.7828,85.2711,17.5752,15000,-589.588,vel
AK,NICH,--,60.2357,-143.9713,84.4924,16.1794,15000,-585.788,vel
AK,YAH,--,60.3583,-141.751,85.1905,17.0451,15000,-589.208,vel
AK,HIN,--,60.396,-146.5035,83.9924,15.0076,15000,-583.308,vel
AK,KHIT,--,60.4427,-143.251,84.857,16.373,15000,-587.568,vel
AV,RDWB,--,60.486807,-152.843634,82.6785,12.1375,15000,-576.74,vel
AK,EYAK,--,60.5487,-145.75,84.3093,15.2564,15000,-584.888,vel
AV,RDDF,--,60.5912,-152.6883,82.8048,12.1659,15000,-577.379,vel
AK,GRNC,--,60.7315,-141.7558,85.4995,16.834,15000,-590.708,vel
AK,CAPN,--,60.7683,-151.1539,83.2766,12.784,15000,-579.748,vel
AK,KIAG,--,60.9231,-142.3605,85.4969,16.4799,15000,-590.688,vel
AK,BAL,--,61.036,-142.3462,85.5952,16.4234,15000,-591.168,vel
AK,FIRE,--,61.1426,-150.2164,83.8106,13.0357,15000,-582.408,vel
AV,SPCN,--,61.2244,-152.1854,83.4827,12.1318,15000,-580.78,vel
AV,SPCP,--,61.265465,-152.155495,83.5261,12.1281,15000,-581.0,vel
AK,KNK,--,61.4131,-148.4585,84.4326,13.6739,15000,-585.488,vel
AK,KLU,--,61.4924,-145.9227,85.0848,14.7067,15000,-588.688,vel
AK,SKN,--,61.98,-151.5317,84.2992,12.1015,15000,-584.828,vel
AK,PAX,--,62.9699,-145.4699,86.469,14.1437,15000,-595.368,vel
AK,MCK,--,63.7318,-148.9373,86.3916,12.4028,15000,-594.988,vel
AK,CHUM,--,63.8827,-152.3152,85.8862,10.9828,15000,-592.58,vel
AK,BWN,--,64.1732,-149.2991,86.7135,12.0592,15000,-596.528,vel
AK,CCB,--,64.6453,-147.8053,87.4295,12.4165,15000,-599.908,vel
TA,POKR,--,65.1171,-147.4335,87.9198,12.3315,12000,-602.195,vel
AK,FYU,--,66.5657,-145.2342,89.6235,12.4035,15000,-610.108,vel
TA,TOLK,--,68.6408,-149.5724,90.6612,9.9518,12000,-614.895,vel
